file,bytes,overall,productive
AbstractUnicodeExtraField.java,5668,13370665,321920
AbstractUnicodeExtraField.java,5668,13572523,229170
AbstractUnicodeExtraField.java,5668,13768665,329135
AggregateTransformer.java,11471,23730807,602423
AggregateTransformer.java,11471,23966055,377990
AggregateTransformer.java,11471,22502818,267612
AggregateTransformer.java,11471,29688793,533710
AggregateTransformer.java,11471,23997997,648518
AggregateTransformer.java,11471,21569047,421585
AggregateTransformer.java,11471,22853942,380392
AggregateTransformer.java,11471,21406069,376550
AggregateTransformer.java,11471,22313404,458368
AggregateTransformer.java,11471,23878576,918620
Algorithm.java,1557,2676833,51948
Algorithm.java,1557,1862750,41602
Algorithm.java,1557,2845902,72892
Algorithm.java,1557,2629720,73353
Algorithm.java,1557,3501633,70538
Algorithm.java,1557,2431527,66757
Algorithm.java,1557,3188280,75525
Algorithm.java,1557,2454760,52870
Algorithm.java,1557,2316473,67750
Algorithm.java,1557,2474588,54878
AllButFirst.java,2038,6291547,161715
AllButFirst.java,2038,6127947,132443
AllButFirst.java,2038,6035885,133640
AllButFirst.java,2038,6076268,129325
AllButFirst.java,2038,5820710,100573
AllButFirst.java,2038,7649624,131857
AllButFirst.java,2038,5224517,143047
AllButFirst.java,2038,5367555,181432
AllButFirst.java,2038,7625148,129612
AllButFirst.java,2038,73819096,103081
AllButLast.java,1935,7439133,85090
AllButLast.java,1935,4777335,84057
AllButLast.java,1935,4224306,125215
AllButLast.java,1935,6823082,91213
AllButLast.java,1935,5968873,83767
AllButLast.java,1935,9155257,121368
AllButLast.java,1935,6047105,112735
AllButLast.java,1935,4980567,88103
AllButLast.java,1935,6087410,110625
AllButLast.java,1935,5285698,85153
AncestorAnalyzer.java,5381,14910045,309508
AncestorAnalyzer.java,5381,12958125,336187
AncestorAnalyzer.java,5381,18992634,307770
AncestorAnalyzer.java,5381,13811960,510965
AncestorAnalyzer.java,5381,17711949,368392
AncestorAnalyzer.java,5381,12389778,212349
AncestorAnalyzer.java,5381,12572180,200232
AncestorAnalyzer.java,5381,17140181,202158
AncestorAnalyzer.java,5381,13272115,309838
AncestorAnalyzer.java,5381,13097723,220735
And.java,1710,3460905,76540
And.java,1710,3364156,77072
And.java,1710,4167864,76102
And.java,1710,5176910,96854
And.java,1710,4749053,88548
And.java,1710,3075470,72602
And.java,1710,2930542,68480
And.java,1710,7801800,78688
And.java,1710,3843622,80286
And.java,1710,7619199,88723
AndSelector.java,2311,5390633,93854
AndSelector.java,2311,5522969,83554
AndSelector.java,2311,4236050,83256
AndSelector.java,2311,6208820,88162
AndSelector.java,2311,6029464,142078
AndSelector.java,2311,5758694,120187
AndSelector.java,2311,4967299,92550
AndSelector.java,2311,5598840,120188
AndSelector.java,2311,5096587,92620
AndSelector.java,2311,4688985,95947
AnsiColorLogger.java,8258,17049510,415720
AnsiColorLogger.java,8258,15331779,273420
AnsiColorLogger.java,8258,20900799,412095
AnsiColorLogger.java,8258,16195767,268223
AnsiColorLogger.java,8258,14986699,418565
AnsiColorLogger.java,8258,17684452,465960
AnsiColorLogger.java,8258,11798709,273115
AnsiColorLogger.java,8258,14700702,426042
AnsiColorLogger.java,8258,15896045,426935
AnsiColorLogger.java,8258,12327496,271078
Ant.java,28208,50984608,870470
Ant.java,28208,53884713,1051905
Ant.java,28208,51880689,1518567
Ant.java,28208,48377662,953805
Ant.java,28208,53399885,1274853
Ant.java,28208,48873339,951307
Ant.java,28208,59346317,726676
Ant.java,28208,49283332,1031750
Ant.java,28208,52437029,859290
Ant.java,28208,54397427,1031182
AntAnalyzer.java,5402,15556375,351475
AntAnalyzer.java,5402,13790437,281228
AntAnalyzer.java,5402,23078490,337510
AntAnalyzer.java,5402,13622834,313200
AntAnalyzer.java,5402,14427424,350275
AntAnalyzer.java,5402,15084250,349330
AntAnalyzer.java,5402,12125599,410752
AntAnalyzer.java,5402,16746457,314333
AntAnalyzer.java,5402,14011464,310655
AntAnalyzer.java,5402,14157002,220688
AntClassLoader.java,60388,95663272,1630782
AntClassLoader.java,60388,93303496,1130010
AntClassLoader.java,60388,112951607,1140308
AntClassLoader.java,60388,83904893,1643691
AntClassLoader.java,60388,88562829,1157965
AntClassLoader.java,60388,90541225,1971142
AntClassLoader.java,60388,98391244,1131639
AntClassLoader.java,60388,95809253,1260335
AntClassLoader.java,60388,81337663,1241722
AntClassLoader.java,60388,94359882,1239109
AntClassLoader2.java,1114,3479022,62280
AntClassLoader2.java,1114,2873305,64087
AntClassLoader2.java,1114,2818355,61020
AntClassLoader2.java,1114,3906530,52005
AntClassLoader2.java,1114,3211108,47382
AntClassLoader2.java,1114,2697310,62087
AntClassLoader2.java,1114,4527260,67695
AntClassLoader2.java,1114,2800556,49431
AntClassLoader2.java,1114,3369147,59148
AntClassLoader2.java,1114,2638248,58762
AntClassLoader5.java,2219,4612617,88765
AntClassLoader5.java,2219,3617802,69545
AntClassLoader5.java,2219,5038272,95605
AntClassLoader5.java,2219,5354118,119682
AntClassLoader5.java,2219,4225772,90023
AntClassLoader5.java,2219,4041631,89335
AntClassLoader5.java,2219,4335140,91252
AntClassLoader5.java,2219,4256468,88495
AntClassLoader5.java,2219,3578177,68477
AntClassLoader5.java,2219,3762593,96322
AntFilterReader.java,5143,13243837,193375
AntFilterReader.java,5143,11742877,192275
AntFilterReader.java,5143,15641098,191772
AntFilterReader.java,5143,10260203,478622
AntFilterReader.java,5143,14832485,276290
AntFilterReader.java,5143,11764314,313292
AntFilterReader.java,5143,12517828,278745
AntFilterReader.java,5143,14181099,305092
AntFilterReader.java,5143,12257284,289825
AntFilterReader.java,5143,11550049,192190
Antlib.java,6108,12024336,444970
Antlib.java,6108,14356163,241743
Antlib.java,6108,21173655,336500
Antlib.java,6108,15861848,393773
Antlib.java,6108,14887920,383255
Antlib.java,6108,14117533,238610
Antlib.java,6108,15004713,241303
Antlib.java,6108,15932814,501703
Antlib.java,6108,18084361,335205
Antlib.java,6108,14673435,241500
AntlibDefinition.java,2557,4958571,134638
AntlibDefinition.java,2557,7263713,229610
AntlibDefinition.java,2557,3679779,82520
AntlibDefinition.java,2557,5767112,214985
AntlibDefinition.java,2557,5500371,124290
AntlibDefinition.java,2557,7813340,207162
AntlibDefinition.java,2557,4761357,97870
AntlibDefinition.java,2557,4614797,93462
AntlibDefinition.java,2557,5450902,133945
AntlibDefinition.java,2557,4803459,96990
ANTLR.java,14706,27078668,587191
ANTLR.java,14706,27507038,800280
ANTLR.java,14706,29344619,710930
ANTLR.java,14706,29153762,548490
ANTLR.java,14706,30268260,504413
ANTLR.java,14706,28438008,628532
ANTLR.java,14706,33945513,599815
ANTLR.java,14706,30096084,951833
ANTLR.java,14706,29932952,638165
ANTLR.java,14706,26860552,495505
AntMain.java,1408,2616872,65205
AntMain.java,1408,4206180,79197
AntMain.java,1408,3195468,53890
AntMain.java,1408,4650783,842027
AntMain.java,1408,2919807,72520
AntMain.java,1408,3584975,70250
AntMain.java,1408,2676602,65797
AntMain.java,1408,2929558,52783
AntMain.java,1408,2980993,65628
AntMain.java,1408,3307885,67028
AntResolver.java,3371,9263427,150452
AntResolver.java,3371,10048098,215063
AntResolver.java,3371,11625032,218838
AntResolver.java,3371,7888230,141489
AntResolver.java,3371,8725127,198110
AntResolver.java,3371,10525830,143423
AntResolver.java,3371,7905013,137265
AntResolver.java,3371,7207633,243400
AntResolver.java,3371,11610981,198528
AntResolver.java,3371,6678408,102971
AntSoundPlayer.java,7886,19701865,409823
AntSoundPlayer.java,7886,17306035,274770
AntSoundPlayer.java,7886,16563222,213288
AntSoundPlayer.java,7886,16625729,440520
AntSoundPlayer.java,7886,18567154,432983
AntSoundPlayer.java,7886,17513334,275352
AntSoundPlayer.java,7886,16430872,402635
AntSoundPlayer.java,7886,19842681,436975
AntSoundPlayer.java,7886,23483406,275222
AntSoundPlayer.java,7886,16449403,389052
AntStructure.java,17844,43864308,1351635
AntStructure.java,17844,45727465,542789
AntStructure.java,17844,43778898,644787
AntStructure.java,17844,41130213,755827
AntStructure.java,17844,38757783,1197073
AntStructure.java,17844,40168061,1102457
AntStructure.java,17844,41415303,809608
AntStructure.java,17844,43196262,661110
AntStructure.java,17844,41923885,943702
AntStructure.java,17844,37748249,747967
AntTypeDefinition.java,13276,27887649,555815
AntTypeDefinition.java,13276,27206693,630728
AntTypeDefinition.java,13276,26680155,603400
AntTypeDefinition.java,13276,26960569,608325
AntTypeDefinition.java,13276,26849661,679232
AntTypeDefinition.java,13276,20273977,613878
AntTypeDefinition.java,13276,23063920,619280
AntTypeDefinition.java,13276,24583446,522437
AntTypeDefinition.java,13276,23807255,674360
AntTypeDefinition.java,13276,24148871,591547
AntVersion.java,5369,12520303,404938
AntVersion.java,5369,12580012,210827
AntVersion.java,5369,15842100,220046
AntVersion.java,5369,20602816,302552
AntVersion.java,5369,15310878,555015
AntVersion.java,5369,13224877,292255
AntVersion.java,5369,12654983,211052
AntVersion.java,5369,12828045,324477
AntVersion.java,5369,10678733,211807
AntVersion.java,5369,12434829,299667
AntXMLContext.java,11623,18893258,305793
AntXMLContext.java,11623,21617536,307222
AntXMLContext.java,11623,27119354,380795
AntXMLContext.java,11623,23590219,491810
AntXMLContext.java,11623,23285800,447860
AntXMLContext.java,11623,22659442,489118
AntXMLContext.java,11623,20855545,354065
AntXMLContext.java,11623,20535737,586878
AntXMLContext.java,11623,21549222,511987
AntXMLContext.java,11623,19936518,622462
ApacheCatalog.java,4579,8828048,216110
ApacheCatalog.java,4579,7205229,153746
ApacheCatalog.java,4579,8640461,192215
ApacheCatalog.java,4579,6374030,236923
ApacheCatalog.java,4579,7851900,193522
ApacheCatalog.java,4579,8388261,246047
ApacheCatalog.java,4579,7846450,147673
ApacheCatalog.java,4579,7621814,189933
ApacheCatalog.java,4579,6342125,142815
ApacheCatalog.java,4579,6201249,141450
ApacheCatalogResolver.java,6515,9023123,263040
ApacheCatalogResolver.java,6515,7643164,285313
ApacheCatalogResolver.java,6515,9034433,255590
ApacheCatalogResolver.java,6515,9544858,183122
ApacheCatalogResolver.java,6515,9550478,271527
ApacheCatalogResolver.java,6515,10547746,201131
ApacheCatalogResolver.java,6515,9823828,254795
ApacheCatalogResolver.java,6515,7849911,181375
ApacheCatalogResolver.java,6515,10257911,182225
ApacheCatalogResolver.java,6515,9733713,255388
Appendable.java,1232,2907822,61310
Appendable.java,1232,2915268,51485
Appendable.java,1232,4029929,75785
Appendable.java,1232,2832907,48475
Appendable.java,1232,3010180,66188
Appendable.java,1232,2877315,50020
Appendable.java,1232,4043020,48723
Appendable.java,1232,2865752,50820
Appendable.java,1232,2288283,86870
Appendable.java,1232,2303642,66939
Apt.java,7637,13343132,230787
Apt.java,7637,14173520,724335
Apt.java,7637,18164501,196671
Apt.java,7637,12790696,248516
Apt.java,7637,10814066,215726
Apt.java,7637,12576310,547610
Apt.java,7637,13737205,399615
Apt.java,7637,13116014,366355
Apt.java,7637,12956614,383024
Apt.java,7637,13882249,364582
AptCompilerAdapter.java,6418,12809563,223380
AptCompilerAdapter.java,6418,14315585,310355
AptCompilerAdapter.java,6418,18862376,383740
AptCompilerAdapter.java,6418,15150483,226357
AptCompilerAdapter.java,6418,15374635,494884
AptCompilerAdapter.java,6418,14004523,341420
AptCompilerAdapter.java,6418,14245775,315527
AptCompilerAdapter.java,6418,13203081,221665
AptCompilerAdapter.java,6418,13930106,386747
AptCompilerAdapter.java,6418,12478883,284745
AptExternalCompilerAdapter.java,2270,5523082,100025
AptExternalCompilerAdapter.java,2270,5577878,125177
AptExternalCompilerAdapter.java,2270,5040337,128888
AptExternalCompilerAdapter.java,2270,6226790,102343
AptExternalCompilerAdapter.java,2270,6543655,273430
AptExternalCompilerAdapter.java,2270,5334013,100505
AptExternalCompilerAdapter.java,2270,4710610,95953
AptExternalCompilerAdapter.java,2270,5885540,128600
AptExternalCompilerAdapter.java,2270,5594723,96535
AptExternalCompilerAdapter.java,2270,5840300,123500
Arc.java,4110,11935275,184730
Arc.java,4110,12013829,259462
Arc.java,4110,10337115,183945
Arc.java,4110,11296788,278560
Arc.java,4110,11974690,181637
Arc.java,4110,12238939,182253
Arc.java,4110,11911588,185535
Arc.java,4110,12788179,250130
Arc.java,4110,12266604,278118
Arc.java,4110,11807453,300445
ArchiveFileSet.java,18576,29052725,463819
ArchiveFileSet.java,18576,36179430,954803
ArchiveFileSet.java,18576,26127108,804173
ArchiveFileSet.java,18576,36100012,672018
ArchiveFileSet.java,18576,32869703,745310
ArchiveFileSet.java,18576,36491166,561570
ArchiveFileSet.java,18576,34941843,713265
ArchiveFileSet.java,18576,31640924,707190
ArchiveFileSet.java,18576,30100995,701255
ArchiveFileSet.java,18576,33735717,830244
ArchiveResource.java,8781,19128261,682258
ArchiveResource.java,8781,20243119,646015
ArchiveResource.java,8781,20666332,358691
ArchiveResource.java,8781,18198267,318522
ArchiveResource.java,8781,17904272,506522
